x,y,z,w
2.316650245771449956e-01,-6.687583796474008135e-01,-5.193032026003958634e-01,-4.789757089957916159e-01
2.287987534907774401e-01,-6.689906968623757777e-01,-5.261916374809829655e-01,-4.724668650368363809e-01
2.259100406635695391e-01,-6.691573960806855847e-01,-5.330284608200711594e-01,-4.659116791342341468e-01
2.231939648537350773e-01,-6.692210676181549189e-01,-5.396145576847666270e-01,-4.595038039489500181e-01
2.204573956735358942e-01,-6.692232921751759545e-01,-5.461511078648461082e-01,-4.530537377409629141e-01
2.179230147658076655e-01,-6.691105228546572192e-01,-5.524284723788484008e-01,-4.467924022918423610e-01
2.153701005015048464e-01,-6.689408487417684013e-01,-5.586588553756779429e-01,-4.404930691905903362e-01
2.130468550279586704e-01,-6.686439135116448718e-01,-5.646235965259847056e-01,-4.344266897102257996e-01
2.107070207170661236e-01,-6.682949144990147916e-01,-5.705443734084151286e-01,-4.283264837098990085e-01
2.086253589643015105e-01,-6.678065902556397093e-01,-5.761932453758813466e-01,-4.225058124941680204e-01
2.065290179674112991e-01,-6.672712779758352974e-01,-5.818015753816492275e-01,-4.166554130325664795e-01
2.047172669723612559e-01,-6.665882805864227212e-01,-5.871317766387413872e-01,-4.111291544627234673e-01
2.028926803057360950e-01,-6.658634884408961563e-01,-5.924251650232911226e-01,-4.055771182978603062e-01
2.013787263028378738e-01,-6.649803496871942166e-01,-5.974397025131455985e-01,-4.003917394047272205e-01
1.998536751779617648e-01,-6.640605667050335503e-01,-6.024213176512952517e-01,-3.951842966319943362e-01
1.986659849085273266e-01,-6.629726875813690690e-01,-6.071234835758546611e-01,-3.903845766064221734e-01
1.974688099741551128e-01,-6.618531569708759887e-01,-6.117966643532072313e-01,-3.855662189317945465e-01
1.966315180907337590e-01,-6.605548662350245737e-01,-6.161916972757394140e-01,-3.811969399077084208e-01
1.957862049135579707e-01,-6.592296291343460179e-01,-6.205615935637132097e-01,-3.768121105147750893e-01
1.953170441737306084e-01,-6.577172862491135197e-01,-6.246581174526415481e-01,-3.729094527158781647e-01
1.948411411796439618e-01,-6.561822392665842552e-01,-6.287330784315288135e-01,-3.689939222547077291e-01
1.947525547615819586e-01,-6.544505691739128661e-01,-6.325436055085252862e-01,-3.655878581846623843e-01
1.946582956070907200e-01,-6.526998362987816993e-01,-6.363357079073015399e-01,-3.621711453014923032e-01
1.949589589634307396e-01,-6.507438409170792637e-01,-6.398707344663021601e-01,-3.592894390347883271e-01
1.952548035269477678e-01,-6.487717611257816097e-01,-6.433899453658465939e-01,-3.563988522253311308e-01
1.959479904286501040e-01,-6.465870718450414945e-01,-6.466585855873524524e-01,-3.540652725924831046e-01
1.966369873787576217e-01,-6.443885566070819415e-01,-6.499133983224621991e-01,-3.517241219896530269e-01
1.977112957488963429e-01,-6.419741358188493230e-01,-6.529255932124191641e-01,-3.499537429448932868e-01
1.987818098166004854e-01,-6.395473948239372985e-01,-6.559252577248954053e-01,-3.481766478936766385e-01
2.002217665061535590e-01,-6.368995850931259417e-01,-6.586953308481836578e-01,-3.469735203789441336e-01
2.016580781198920036e-01,-6.342401804827243472e-01,-6.614534122961331919e-01,-3.457640761444586430e-01
2.034363620834074293e-01,-6.313595020078813791e-01,-6.639925882331002560e-01,-3.451270325230027525e-01
2.052109203456638775e-01,-6.284672609152870404e-01,-6.665196039151521923e-01,-3.444836682998294597e-01
2.072982847587741262e-01,-6.253528540177809569e-01,-6.688428641526884544e-01,-3.443986820240616531e-01
2.093816148609187744e-01,-6.222262768899263774e-01,-6.711531077842058934e-01,-3.443069932742187089e-01
2.117415156693613909e-01,-6.188779148454115475e-01,-6.732721813962870838e-01,-3.447611155808008032e-01
2.140968688289921762e-01,-6.155162609369690951e-01,-6.753767948991823422e-01,-3.452078333287035838e-01
2.166926014200543649e-01,-6.119339539495418645e-01,-6.773021952002714619e-01,-3.461833168573826836e-01
2.192830836608788692e-01,-6.083368201172684175e-01,-6.792111848176626276e-01,-3.471504125424158538e-01
2.220715720417197614e-01,-6.045234396806171695e-01,-6.809561321142938439e-01,-3.486178049147393154e-01
2.248539499857387380e-01,-6.006934254071737422e-01,-6.826823424812697994e-01,-3.500756048522800090e-01
2.277965547573186367e-01,-5.966500041851867664e-01,-6.842592844403423413e-01,-3.520038832224717251e-01
2.307320492737045259e-01,-5.925879596183658560e-01,-6.858148684902207748e-01,-3.539211744315904906e-01
2.337803204543266178e-01,-5.883189097981630367e-01,-6.872365883549447219e-01,-3.562772709118923187e-01
2.368203884654888070e-01,-5.840292163253885116e-01,-6.886341936227583505e-01,-3.586208659000997279e-01
2.399213367548324594e-01,-5.795460647142761657e-01,-6.899155445193079217e-01,-3.613594505123580158e-01
2.430129626044632007e-01,-5.750403941253928730e-01,-6.911700878957022232e-01,-3.640839940570828603e-01
2.461115024815659635e-01,-5.703569077788505082e-01,-6.923286208015483334e-01,-3.671555622814885456e-01
2.491996287106944818e-01,-5.656492880781277544e-01,-6.934578593978363292e-01,-3.702115951540768668e-01
2.522356046738637447e-01,-5.607882560259681570e-01,-6.945154973044606050e-01,-3.735531496883643388e-01
2.552601968993103432e-01,-5.559019148330436311e-01,-6.955417907770746755e-01,-3.768778452582440819e-01
2.581694941515351727e-01,-5.508902638247133998e-01,-6.965237494825121667e-01,-3.804248886698882171e-01
2.610666248007299517e-01,-5.458526513325326901e-01,-6.974728835198422683e-01,-3.839540040198982096e-01
2.637905976523571838e-01,-5.407151360175878052e-01,-6.984088044890320868e-01,-3.876426241835265740e-01
2.665018304842327601e-01,-5.355515063468843096e-01,-6.993109951355984677e-01,-3.913125227750722801e-01
2.689876069597531005e-01,-5.303169567752044067e-01,-7.002316770957903724e-01,-3.950761838561825945e-01
2.714603126835191116e-01,-5.250566378330636663e-01,-7.011183331225006032e-01,-3.988206472397425872e-01
2.736618673941803026e-01,-5.197554905394325964e-01,-7.020543537802703682e-01,-4.025954504544317358e-01
2.758502660076703750e-01,-5.144293563749455789e-01,-7.029566236806338297e-01,-4.063508991828079786e-01
2.777243342743130894e-01,-5.090959931294053442e-01,-7.039361539112113375e-01,-4.100784743779674058e-01
2.795854019339084617e-01,-5.037387984937445884e-01,-7.048827320515541617e-01,-4.137868533110567459e-01
2.811066848888220671e-01,-4.983994271730710079e-01,-7.059334496905460554e-01,-4.174146706961461839e-01
